;data;semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
0;2021-01-01;53;7700578;24605;195411;462;6747065;733959
1;2021-01-02;53;7716405;15827;195725;314;6756284;748883
2;2021-01-03;1;7733746;17341;196018;293;6769420;751260
3;2021-01-04;1;7753752;20006;196561;543;6813008;724720
4;2021-01-05;1;7810400;56648;197732;1171;6875230;681961
5;2021-01-06;1;7873830;63430;198974;1242;6963407;649261
6;2021-01-07;1;7961673;87843;200498;1524;7036530;638326
7;2021-01-08;1;8013708;52035;201460;962;7096931;664244
8;2021-01-09;1;8075998;62290;202631;1171;7114474;697774
9;2021-01-10;2;8105790;29792;203100;469;7144011;729356
10;2021-01-11;2;8131612;25822;203580;480;7167651;735039
11;2021-01-12;2;8195637;64025;204690;1110;7207483;720549
12;2021-01-13;2;8256536;60899;205964;1274;7273707;717240
13;2021-01-14;2;8324294;67758;207095;1131;7277195;713752
14;2021-01-15;2;8393492;69198;208246;1151;7316944;733628
15;2021-01-16;2;8455059;61567;209296;1050;7339703;777496
16;2021-01-17;3;8488099;33040;209847;551;7361379;823867
17;2021-01-18;3;8511770;23671;210299;452;7388784;856979
18;2021-01-19;3;8573864;62094;211491;1192;7411654;866598
19;2021-01-20;3;8638249;64385;212831;1340;7452047;849424
20;2021-01-21;3;8697368;59119;214147;1316;7518846;843527
21;2021-01-22;3;8753920;56552;215243;1096;7564622;860796
22;2021-01-23;3;8816254;62334;216445;1202;7580741;902480
23;2021-01-24;4;8844577;28323;217037;592;7594771;943906
24;2021-01-25;4;8871393;26816;217664;627;7628438;971371
25;2021-01-26;4;8933356;61963;218878;1214;7653770;973770
26;2021-01-27;4;8996876;63520;220161;1283;7709602;944127
27;2021-01-28;4;9058687;61811;221547;1386;7798655;915823
28;2021-01-29;4;9118513;59826;222666;1119;7877337;899378
29;2021-01-30;4;9176975;58462;223945;1279;7923794;913346
30;2021-01-31;5;9204731;27756;224504;559;7960643;935204
31;2021-02-01;5;9229322;24591;225099;595;7998246;954784
32;2021-02-02;5;9283418;54096;226309;1210;8027042;953185
33;2021-02-03;5;9339420;56002;227563;1254;8077967;926256
34;2021-02-04;5;9396293;56873;228795;1232;8160929;896180
